LanguageCode,Key,Value
bg,Home Page,Начална страница
bg,CATEGORIES,КАТЕГОРИИ
bg,FEATURED PRODUCTS,ИЗБРАНИ ПРОДУКТИ
bg,Buy,Купи
bg,Prev,Предишни
bg,Next,Следващи
bg,There are no products in this category,Няма продукти в тази категория
bg,Shopping Cart,Количка
bg,item(s),продукт(и)
bg,There are no items in your shopping cart.,Нямате продукти в количката
bg,Toggle navigation,Навигация
bg,Home,Начало
bg,Categories,Категории
bg,My Account,Моят акаунт
bg,Information,Информация
bg,Customer Service,Обслужване на клиенти
bg,Contact Us,Свържете се с нас
bg,Skype,Skype
bg,Tel,Тел.
bg,Email,Е-мейл
bg,Copyright,Създадено с
bg,Powered by,Powered by
bg,Featured Products,Избрани продукти
bg,Checkout,Поръчай
bg,About Us,За нас
bg,MY ACCOUNT,МОЯТ АКАУНТ
bg,Sign In,Влез
bg,View Cart,Виж количка
bg,Check out,Поръчай
bg,My Orders,Моите поръчки
bg,Follow Us,Следете ни
bg,Subscribe,Абонирай се
bg,Powered By,Powered By
bg,Your shopping cart is empty!,Вашата количка е празна!
bg,The status of your recent orders is shown below. Click,Статусът на последните ви поръчки е показан долу. Натисни
bg,View Order,Виж поръчка
bg,to see complete details.,за пълна информация.
bg,Change Password,Промяна на парола
bg,Sign out,Изход
bg,Manage Account,Управление на акаунта
bg,You're logged in as,Влезли сте като
bg,Change Password Form,Промяна на парола
bg,Change password,Промяна на парола
bg,items in stock,стоки в наличност
bg,out of stock,изчерпана наличност
bg,Add to Cart,Добави в количката
bg,Description,Описание
bg,Related Products,Подобни продукти
bg,This combination is not available!,Тази комбинация не е достъпна!
bg,Please select the product options!,"Моля, изберете опциите на продукта!"
bg,This product is out of stock!,Този продукт не е наличен!
bg,The selected quantity is not available!,Избраното количество не е налично!
bg,Image,Изображение
bg,Product Name,Име на продукта
bg,Options,Опции
bg,Quantity,Количество
bg,Unit Price,Единична цена
bg,Sub Total,Цена
bg,Remove,Премахни
bg,Continue Shopping,Продължете пазаруването
bg,Update Cart,Обнови количка
bg,Total,Общо
bg,Billing Information,Данни за плащане
bg,First Name,Име
bg,Last Name,Фамилия
bg,Company,Фирма
bg,Address,Адрес
bg,City,Град
bg,Country,Държава
bg,State / Region,Щат / Регион
bg,Zip / Postal Code,ЗИП / Пощенски код
bg,Phone Number,Телефон
bg,Shipping Information,Информация за доставка
bg,Shipping address is same as billing address,Адрес за доставка е същия като адрес за фактуриране
bg,Shipping Choices,Методи за доставка
bg,Shipping Method,Методи за доставка
bg,Payment,Заплащане
bg,Payment Method,Метод на заплащане
bg,Place Order,Направи поръчка
bg,Subtotal,Цена
bg,Shipping & Handling,Доставка
bg,Tax,Данък
bg,Order comments (optional),Коментар (по желание)
bg,Your Order,Вашата поръчка
bg,login,влезете
bg,create an account,създадете акаунт
bg,Welcome visitor you can {0} or {1}.,"Добре дошли, можете да {0} или да {1}."
bg,Log in,Влез
bg,Log In,Влез
bg,Password,Парола
bg,Register,Регистрирай се
bg,{0} if you don't have an account.,{0} ако нямате акаунт.
bg,Newsletter,Бюлетин
bg,Stay updated on our latest special offers!,Осведомете се за най-новите ни оферти!
bg,Head Office:,Главен офис:
bg,Phone:,Телефон:
bg,Email:,Е-мейл:
bg,"Search results for ""{0}""","Резултати за ""{0}"""
