LanguageCode,Key,Value
bg,Dashboard,Табло
bg,Loading...,Зарежда...
bg,* Dashboard reports refresh every {0} minutes,* Данните се опресняват на {0} минути
bg,Reports,Доклади
bg,Inventory,Инвентар
bg,Categories,Категории
bg,Products,Продукти
bg,Options,Опции
bg,Orders,Поръчки
bg,View Orders,Виж поръчки
bg,View Shipments,Виж доставки
bg,Customers,Клиенти
bg,View Customers,Виж клиенти
bg,Site Configuration,Конфигурация на сайта
bg,Site Settings,Настройки на сайта
bg,Tax Settings,Данъчни настройки
bg,Edit Tax Zones,Данъчни зони
bg,Edit Tax Classes,Данъчни класове
bg,Edit Tax Rates,Данъчни ставки
bg,Shipping Settings,Настройки за доставка
bg,Edit Shipping Zones,Зони за доставка
bg,Content Management,Управление на съдържанието
bg,Edit Page Templates,Редактирай основни страници
bg,Edit Email Templates,Редактирай email шаблони
bg,Edit Content Pages,Редактирай допълнителни страници
bg,Database,База данни
bg,Import Data,Качване на данни
bg,Export Data,Смъкване на данни
bg,Welcome to {0} Administrative Panel.,Добре дошли в административния панел на {0}.
bg,Log out,Изход
bg,Today,Днес
bg,Vistits,Посещения
bg,New visits,Нови посещения
bg,Orders Worldwide,Поръчки по света
bg,All time,Общо
bg,Return Rate,Процент върнати
bg,Returned orders,Върнати поръчки
bg,Monthly,Месечно
bg,Compared to last month average,Спрямо предния месец
bg,New orders for {0},Нови поръчки за {0}
bg,Orders and Sales At a Glance,Поръчки и продажби
bg,Last 30 days,Последни 30 дни
bg,Last 90 days,Последни 90 дни
bg,Number of orders,Брой поръчки
bg,Amount of sales,Сума продажби
bg,Sales,Продажби
bg,Percentage of last month sales,Процент от продажбите за предния месец
bg,This month,Този месец
bg,Top Categories,Топ категории
bg,No.,№
bg,Category,Категория
bg,Total,Общо
bg,Tax Zones,Данъчни зони
bg,Countries,Държави
bg,Add Tax Zone,Добави данъчни зони
bg,button above,бутона отгоре
bg,Edit,Редактирай
bg,Batch Actions,Действия
bg,Set Active,Направи активни
bg,Set Inactive,Направи неактивни
bg,Home,Начало
bg,Home,Начало
bg,NOTE: The dashboard currently displays sample data. It will display the actual data after the first order placed on your store,ЗАБЕЛЕЖКА: Таблото показва примерни данни. След първата приета поръчка ще се показват действителните данни
bg,Product Categories,Продуктови категории
bg,Add Category,Добави категория
bg,Category Details,Информация за категорията
bg,Parent Category,Главна категория
bg,Visible in menu,Видимо в менюто
bg,Yes,Да
bg,Sort order,Ред при сортиране
bg,Save options,Запази Опции
en,Parent Category,Parent Category
en,Visible in menu,Visible in menu
en,Sort order,Sort order
bg,"Category ""{0}"" has been added","Категорията ""{0}"" бе добавена"
bg,Name,Име
bg,(incl child),(вкл. вложени)
bg,Visible,Видимо в менюто
bg,in menu,в менюто
bg,Delete,Изтрий
bg,Delete Selected,Изтрий избраните
bg,Edit Category,Редактирай категория
bg,"Category ""{0}"" has been updated","Категорията ""{0}"" бе обновена"
bg,The selected categories have been deleted,Избраната категория бе изтрита
bg,20 per page,20 на страница
bg,50 per page,50 на страница
bg,100 per page,100 на страница
bg,200 per page,200 на страница
bg,500 per page,500 на страница
bg,1000 per page,1000 на страница
bg,SKU,Код
bg,Product,Продукт
bg,Price,Цена
bg,Quantity,Количество
bg,View,Виж
bg,Browse Products,Разгледай продукти
bg,Add Product,Добави продукт
bg,Product Details,Информация за продукта
bg,Details,Информация
bg,Skus,Кодове
bg,Media,Медия
bg,Select categories,Избери категории
bg,Category Selector,Избор на категории
bg,Close,Затвори
bg,inclusive of tax,вкл. ДДС
bg,Cost Price,Доставна цена
bg,Retail Price,Препоръчителна цена
bg,Sale Price,Промоционална цена
bg,Tax Class,Данъчен клас
bg,kg,кг
bg,Featured,Избрани
bg,Additional sections,Допълнителни секции
bg,Add section,Добави секция
bg,Edit Section,Промени секция
bg,Title,Заглавие
bg,Text,Текст
bg,Remove,Премахни
bg,Select options,Избери опции
bg,Option Selector,Избор на опции
bg,Sku,Код
bg,Generate Skus,Генерирай кодове
bg,Delete selected,Изтрий избраните
bg,Add Skus,Добави кодове
bg,Prefix,Префикс
bg,Generate,Генерирай
bg,Images,Снимки
bg,EDIT,ПРОМЕНИ
bg,DELETE,ИЗТРИЙ
bg,"Product ""{0}"" has been added","Продукт ""{0}"" бе добавен"
bg,Data Import Source,Качване на данни
bg,Import Products,Качване на продукти
bg,Import Translations,Качване на преводи
bg,Data Import,Качване на данни
bg,CSV Translations File:,CSV файл с преводи:
bg,Upload,Качване
bg,Import Texts,Качване на текст
bg,Edit Product,Редактирай продукти
bg,Delete Products,Изтрий продукти
bg,Please review and confirm the deletion of the listed products,"Моля предгледайте и потвърдете изтриването на изброените продукти  "
bg,Cancel,Отказ
bg,Option Categories,Категории за опции
bg,Add Option Category,Добави категория за опции
bg,There are no option categories yet. Add new option category by clicking on the {0} button above,Все още няма категории за опции. Добавате нова категория за опции като натиснете бутона {0}
bg,Product Option Categories,Категории за опции
bg,Option Category Details,Информация за категория за опции
bg,Include in filters,Добави към филтри
bg,Option category,Категори за опции
bg,"Option category ""{0}"" has been added","Категории за опции ""{0}"" бе добавена"
bg,Description,Описание
bg,Type,Тип
bg,Edit Option Category,Редактирай категория за опции
bg,Save,Запиши
bg,Option,Опции
bg,Add Option,Добави опции
bg,Export Products,Смъкни продукти
bg,Export Translations,Смъкни превод
bg,JSON File:,JSON файл:
bg,Delete Categories,Изтрий категории
bg,Please review and confirm the deletion of the listed categories,Моля предгледайте и потвърдете изтриването на изброените категории
bg,WARNING!,ВНИМАНИЕ!
bg,Deleting product category will also delete all child categories. All products that do not belong to any other category will be deleted as well.,Изтриването на продуктова категория ще изтрие и всички под категории. Всички продукти които не принадлежат на други категории ще бъдат изтрити.
bg,Deleting those categories will also remove the following products:,Изтриването на тези категории ще премахне и следните продукти:
bg,There are no categories yet. Add new category by clicking on the {0} button above,"Все още няма категории. Добавате нова категория като натиснете бутона {0} "
bg,Find,Намери
bg,Please select at least one category,Моля изберете поне една категория
bg,Weight,Тегло
bg,Keywords,Ключови думи
bg,close,затвори
bg,"Product ""{0}"" have been updated","Продукта ""{0}"" бе обновен"
bg,The selected products have been deleted,Избрания продукт бе изтрит
bg,"Option category ""{0}"" has been updated","Категория за опции ""{0}"" бе обновена"
bg,Existing exports,Съществуващи експорти
bg,Export,Експорт
bg,Data backup has been initiated,Започва архивирането на данни
bg,Data Export,Експорт на данни
bg,Save and add another,Запази и добави ново
bg,Save and copy to another,Запази и добави копие
bg,There are no products yet. Add new product by clicking on the {0} button above,"Все още няма продукти. Добавате нов продукт като натиснете бутона {0} "
bg,Delete Option Category,Изтрий категории за опции
bg,Please review and confirm the deletion of the listed option category,Моля предгледайте и потвърдете изтриването на изброените категории за опции
bg,Deleting option category will also delete all options within that category. Those options will be removed from all products that use them. Any option specific SKUs will also be removed,"Изтриването на категорията ще изтрие и всички опции в нея. Тези опции ще бъдат премахнати от всички продукти които ги използват. Всякакви продуктови кодове свързани с тези опции ще бъдат изтрити "
bg,Country Details,Информация за държавата
bg,Code,Код
bg,Name is already used,Името вече е използвано
bg,Is Active,Активно
bg,Regions,Региони
bg,Regions in,Региони в
bg,Add Region,Добави регион
bg,There are no regions yet. Add new region by clicking on the {0} button above,Все още няма региони. Добавете нов регион като натиснете бутона {0}
bg,Region Details,Информация за региона
bg,Add Order,Добави поръчка
bg,Shipments,Пратки
bg,Ship Package,Изпрати пратка
bg,There are no shipments yet. Add new shipments by using the {0} button above,Все още няма пратки. Добавете нова пратка като натиснете бутона {0}
bg,Order Details,Информация за поръчка
bg,Customer Details,Информация за клиент
bg,Order Items,Съдържание на поръчка
bg,Customer Email,Клиентски Е-майл
bg,Billing Address,Адрес за фактура
bg,First Name,Име
bg,Last Name,Фамилия
bg,Address,Адрес
bg,Address 2,Адрес 2
bg,Country,Държава
bg,Region,Регион
bg,Zip/Postal Code,Пощенски код
bg,Shipping Address,Адрес за доставка
bg,Same as billing address,Същия адрес
bg,Subtotal,Цена
bg,Discount,Отстъпка
bg,Tax,Данък
bg,Add,Добави
bg,More than one SKU matches your selection. Please select the required options,Повече от един код отговаря на избраните критерии. Моля изберете опциите
bg,Content Pages,Статични страници
bg,Add Content Page,Добави статични страници
bg,There are no content pages yet. Add new content page by clicking on the {0} button above,Все още няма статични страници. Добавете нова статична страница като натиснете бутона {0}
bg,Email Templates,Е-майл шаблони
